date	year	location	latitude	longitude	sex	band	geolocator_tag.id	africa	asia	af_as	as_af	assign_2_1	assign_AFRICA_or_ASIA_only	geolocator_info	d2h	d13C_VPDB	pair_information	band	mate.id	mean_rwl	mean_rts	mean_lts	belly.total.bright	belly.avg.bright	belly.hue	belly.chrom	breast.total.bright	breast.avg.bright	breast.hue	breast.chrom	throat.total.bright	throat.avg.bright	throat.hue	throat.chrom	vent.total.bright	vent.avg.bright	vent.hue	vent.chrom	rwl.1	rwl.2	rwl.3	rts.1	rts.2	rts.3	lts.1	lts.2	lts.3	lts.intact	rts.intact	bird_mass	blood	nest	primary1	primary2	primary3	primary4	primary5	primary6	primary7	primary8	primary9	photo	feathers	tail	geolocator	geolocator.return	tag.id	time.deployed/retrieved	proportion.rustica.ancestry	proportion.gutturalis.ancestry	date	year	location	latitude	longitude	sex	band	geolocator_tag.id	africa	asia	af_as	as_af	assign_2_1	assign_AFRICA_or_ASIA_only	geolocator_info	d2h	d13C_VPDB	pair_information	band	mate.id	mean_rwl	mean_rts	mean_lts	belly.total.bright	belly.avg.bright	belly.hue	belly.chrom	breast.total.bright	breast.avg.bright	breast.hue	breast.chrom	throat.total.bright	throat.avg.bright	throat.hue	throat.chrom	vent.total.bright	vent.avg.bright	vent.hue	vent.chrom	rwl.1	rwl.2	rwl.3	rts.1	rts.2	rts.3	lts.1	lts.2	lts.3	lts.intact	rts.intact	bird_mass	blood	nest	primary1	primary2	primary3	primary4	primary5	primary6	primary7	primary8	primary9	photo	feathers	tail	geolocator	geolocator.return	tag.id	time.deployed/retrieved	proportion.rustica.ancestry	proportion.gutturalis.ancestry
42879	2017	Zhangye	38.937682	100.439127	m	2035	BB384	0.0000851	0.0000202	4.217365605	0.237114847	africa	africa	*africa	-24.00365592	-17.89949465	y	2035	2036	125.1666667	98.5	97.16666667	93688.04433	46.91439376	660.4	0.353433753	101961.3003	51.05723602	670.0966667	0.346706275	22280.61507	11.1570431	670.4766667	0.486350872	69823.78	34.9643365	624.0766667	0.413542404	125	125	125.5	98.5	98.5	98.5	97	97	97.5	y	y	18.26	y	y	97	97	90	81	72	69	62	57	52	y	y	y	y	y	BB384	0.895833333	0.99999	0.00001	42879	2017	Zhangye	38.93728302	100.439467	f	2036	BB354	0.0000857	0.0000193	4.435879268	0.225434449	africa	africa	*africa	-23.5199646	-17.63095373	y	2036	2116	121	84.83333333	85	121993.756	61.08851077	590.7933333	0.321648025	126652.3627	63.4213133	584.44	0.323867387	19628.66847	9.82907785	652.79	0.479219225	91789.53733	45.96371424	609.4066667	0.368032761	121	121	121	85	85	84.5	85	85	85	y	y	18.77	y	y	94	92	85	81	74.5	69	62	58	50	y	y	y	y	y	BB354	0.919444444	0.507777	0.492223
42877	2017	Zhangye	38.98825102	100.437692	m	2061	BB411	0.0000902	0.0000127	7.100988052	0.140825473	africa	africa	NA	-6.682815254	-20.14844797	y	2061	2060	125	93	96.83333333	95553.549	47.84854732	660.02	0.342674286	88495.085	44.31401352	644.1666667	0.37219251	12558.4358	6.288650876	689.11	0.540496424	58509.99537	29.2989461	660.02	0.423976263	125	125	125	93	93	93	96.5	97	97	y	y	18.15	y	y	97.5	96	88	83	77	69	64	57	50	y	y	y	y	y	BB411	0.678472222	0.48717	0.51283	42572	2016	Zhangye	38.98825102	100.437692	f	2060	BB425	0.000067	0.0000465	1.44113117	0.693899362	undetermined	NA	africa	-31.83121019	-17.88805357	y	2060	2061	119.3333333	84	83.83333333	115805.7363	57.98985295	605.4066667	0.331462981	120978.9957	60.58036839	622.4066667	0.338655359	27418.4757	13.7298326	681.4	0.528411258	111743.5153	55.9556912	610.3533333	0.344184469	119.5	119	119.5	84	84	84	83.5	84	84	y	y	15.64	y	y	93	92	86	78	76.5	71	65	57.5	51	y	y	y	y	n	BB425	0.677083333	0.00001	0.99999
42877	2017	Zhangye	38.941048	100.434729	m	1705	NA	0.0000843	0.0000213	3.955089352	0.252838788	africa	africa	NA	-24.59198985	-19.28579358	y	1705	2104	125.8333333	116	104.8333333	106780.1173	53.47026406	616.4266667	0.32267762	99000.92833	49.57482641	601.3933333	0.335433919	21582.30037	10.80736123	649.1	0.513167841	79008.26633	39.56347838	595.1	0.39692092	126	125.5	126	116	116	116	105	104.5	105	y	y	15.47	y	y	97	94	86	80	75	69	64	57	52	y	y	y	n	NA	NA	NA	0.559965	0.440035	42877	2017	Zhangye	38.941048	100.434729	f	2104	NA	0.0000869	0.0000175	4.955286179	0.201804692	africa	africa	NA	0.288767385	-18.98175301	y	2104	1705	122	82.66666667	82.5	97416.457	48.7814006	626.7933333	0.356171076	99728.52767	49.93917259	643.4066667	0.351251343	26760.18383	13.4001922	660.02	0.483922502	84784.44933	42.45590853	643.4066667	0.366358944	122	122	122	82.5	83	82.5	82.5	82.5	82.5	y	y	17.57	y	y	93	93	86	80	75	68	64	58	52	y	y	y	n	NA	NA	NA	0.602048	0.397952
42875	2017	Zhangye	38.94081599	100.433619	m	1708	NA	0.000091	0.0000116	7.818753505	0.127897625	africa	africa	NA	-11.13575764	-19.7777425	y	1708	1713	124	108	109	90788.397	45.46239209	626.7933333	0.36547458	104932.0997	52.54486713	643.4066667	0.355754419	16751.85233	8.38850893	688.7966667	0.473722085	86592.214	43.36114872	643.4066667	0.375112201	124	124	124	108	108	108	109	109	109	y	y	18.45	y	y	96	93.5	86	79	74	69	63	57	49	n	y	y	n	NA	NA	NA	0.708142	0.291858	42878	2017	Zhangye	38.94081599	100.433619	f	1713	NA	0.0000892	0.0000143	6.244127141	0.160150487	africa	africa	NA	-19.42405572	-21.51546283	y	1713	1708	120.1666667	94.16666667	94	102101.9373	51.12766016	626.4066667	0.320298093	108057.891	54.11011067	626.7933333	0.324155987	18498.11487	9.262951861	669.7633333	0.52563366	83305.55233	41.71534919	590.85	0.360310039	120	120.5	120	94	94	94.5	94	94	94	y	y	19.12	y	y	92	92	87	79	74	70	65	58	52	y	y	y	n	NA	NA	NA	0.585365	0.414635
42875	2017	Zhangye	38.941306	100.435021	m	1710	NA	0.000091	0.0000116	7.831678074	0.127686556	africa	africa	NA	-11.41875724	-17.0024777	y	1710	2100	126	125.5	120.6666667	156255.196	78.24496545	660.4	0.293873152	118874.8693	59.52672475	614.0266667	0.31594586	17894.83457	8.960858571	660.4	0.496331236	90940.22	45.53841763	643.02	0.368215123	126	126	126	125.5	125.5	125.5	120.5	121	120.5	y	y	17	y	y	98	97	89	82	76	71	65	59	51	y	y	y	n	NA	NA	NA	0.99999	0.00001	42875	2017	Zhangye	38.941306	100.435021	f	2100	NA	0.0000906	0.0000122	7.429656192	0.13459573	africa	africa	NA	-15.73555716	-18.74456817	y	2100	1710	118.5	84	84	126843.6373	63.51709431	639.09	0.305363706	91550.348	45.84393991	626.0933333	0.324265955	26635.8154	13.33791457	667.0366667	0.468007254	37538.581	18.79748673	659.7066667	0.429742389	118.5	118.5	118.5	84	84	84	84	84	84	y	y	18.56	y	y	92	91	85	79	73	68	62	57	50	y	y	y	n	NA	NA	NA	NA	NA
42571	2016	Zhangye	38.94130801	100.434887	m	1712	BB431	0.0000447	0.000079	0.565833736	1.767303603	undetermined	NA	africa	-37.10083449	-18.61751852	y	1712	2045	119.1666667	NA	NA	103210.7683	51.68290853	609.4066667	0.318402903	119323.5137	59.75138391	637.4466667	0.325490255	23221.31583	11.62810007	672.4366667	0.535707551	107809.1127	53.98553464	598.5166667	0.343729224	119	119	119.5	NA	NA	NA	NA	NA	NA	n	n	16.9	y	y	92	92	84	79	74	70	63	58	50	y	y	y	y	n	BB431	0.583333333	0.659285	0.340715	42571	2016	Zhangye	38.94130801	100.434887	f	2045	BB429	0.0000847	0.0000207	4.085680331	0.244757279	africa	africa	NA	-24.29777228	-19.39905927	y	2045	1712	120	NA	NA	111278.2623	55.72271524	626.7933333	0.308335927	114927.6987	57.5501746	644.1066667	0.327328428	44490.015	22.27842514	660.02	0.459245996	103433.8163	51.79460007	660.02	0.326026033	120	120	120	NA	NA	NA	NA	NA	NA	n	n	15.41	y	y	92	92	86	81	74	67	61	52	45	y	y	y	y	n	BB429	0.597222222	0.447327	0.552673
42875	2017	Zhangye	38.94130801	100.434887	m	1712	BB431	0.0000883	0.0000155	5.685417602	0.175888575	africa	africa	*africa	-20.75234649	-18.16772785	y	1712	2101	119.5	113.1666667	109	101118.3603	50.63513287	606.7633333	0.327136536	103399.541	51.77743665	597.4133333	0.325006908	21567.74727	10.80007374	643.4066667	0.480455214	103107.0687	51.6309808	577.36	0.359408529	119.5	119.5	119.5	113	113	113.5	109	109	109	y	y	17.92	y	y	91	91	85	79	75	69	65	58	51	y	y	y	y	y	BB431	0.742361111	0.659285	0.340715	42875	2017	Zhangye	38.94130801	100.434887	f	2101	NA	0.0000907	0.000012	7.53597561	0.13269682	africa	africa	NA	-15.22974817	NA	y	2101	1712	119.6666667	88	86.16666667	109687.044	54.92591087	598.13	0.328387854	90446.019	45.29094592	609.02	0.319191824	30172.734	15.10903055	610.18	0.517580952	100905.6483	50.52861709	610.18	0.347946951	119.5	120	119.5	88	88	88	86	86	86.5	y	y	16.83	y	y	92	92	86	80	74	69	64	57	50	y	y	y	n	NA	NA	NA	0.451782	0.548218
42567	2016	Lanzhou	36.23324099	103.426162	m	2006	BB373	0.000000218	0.000143754	0.001518888	658.37628	asia	asia	NA	-62.61193698	-19.26117562	y	2006	2005	117.6666667	105.8333333	106.1666667	78438.20533	39.2780197	660.78	0.358365151	93817.00033	46.97896862	594.4533333	0.367945911	18298.90297	9.163196278	692.0266667	0.480968337	58816.34467	29.45235086	644.4866667	0.427445257	118	117.5	117.5	105.5	106	106	106	106	106.5	y	y	16.25	NA	NA	91	88	83.5	78	74	69	63	56	49	y	y	y	y	n	BB373	0.690972222	0.487873	0.512127	42869	2017	Lanzhou	36.23339002	103.426215	f	2005	BB350	0.0000435	0.0000807	0.539427677	1.853816632	undetermined	NA	*india	-37.35189345	-20.26948628	y	2005	2078	121.3333333	98.16666667	99	89470.76067	44.80258421	626.7933333	0.334801159	121342.1027	60.76219463	660.02	0.331903528	13667.7714	6.844151928	660.02	0.534655157	69956.87633	35.03098464	643.4066667	0.431062181	121	121.5	121.5	98.5	98	98	99	99	99	y	y	19.07	y	y	96	94	88	81	75	70	65	58	51	y	y	y	y	y	BB350	0.881944444	0.473833	0.526167
42567	2016	Lanzhou	36.23080797	103.425766	m	2008	BB332	0.00000811	0.000132271	0.061280212	16.31848134	asia	asia	NA	-47.67779877	-13.59653944	y	2008	2009	120.1666667	102.1666667	101.6666667	131267.4167	65.73230679	660.78	0.328038343	120320.4073	60.25057954	644.4866667	0.322027486	24325.80523	12.18117438	660.02	0.50773217	78332.906	39.22529094	668.11	0.377700589	120	120	120.5	102	102	102.5	101.5	101.5	102	y	y	15.31	y	y	93	91.5	86	80	77	71	65	59	50	y	y	y	y	n	BB332	0.777777778	0.5372	0.4628	42567	2016	Lanzhou	36.23080797	103.425766	f	2009	BB371	0.0000199	0.000115128	0.172682473	5.790975664	asia	asia	NA	-42.98669639	-19.35676742	y	2009	2008	116	82	81.83333333	90816.11037	45.47626959	660.78	0.338450781	113176.1293	56.67307428	660.78	0.338336329	36957.4019	18.50646064	661.16	0.48952566	88112.23233	44.12229962	660.4	0.375233921	116	116	116	82	82	82	81.5	82	82	y	y	18.2	y	y	90	90.5	82	75	71	66	61	55	49	y	y	y	y	n	BB371	0.708333333	0.570279	0.429721
42567	2016	Lanzhou	36.23152597	103.425997	m	2010	BB377	0.0000419	0.000083	0.504917521	1.980521488	undetermined	NA	NA	-37.69690259	-20.57349897	y	2010	2011	116.6666667	94	91	127721.8177	63.9568441	660.78	0.323170538	105039.9683	52.59888249	661.16	0.348824732	26578.4652	13.30919639	661.16	0.494911909	74450.419	37.2811312	660.78	0.400046392	117	116.5	116.5	94	94	94	91	91	91	y	y	14.99	y	y	90	88	81	77	68.5	65	56	50	46	y	y	y	y	n	BB377	0.826388889	0.349396	0.650604	42567	2016	Lanzhou	36.23152597	103.425997	f	2011	BB381	0.0000571	0.0000609	0.937157298	1.067056728	undetermined	NA	NA	-34.35336326	-20.54397511	y	2011	2010	114.8333333	80.5	76	119395.7757	59.78756919	644.1666667	0.328908851	95307.55633	47.72536622	657.7566667	0.348068912	29698.06893	14.87134148	667.42	0.486326309	51482.917	25.78012869	660.02	0.411049166	115	114.5	115	80	80.5	81	76	76	76	y	y	14.62	y	y	90	88	82	75	71	65.5	60	55	48	y	y	y	y	n	BB381	0.754861111	0.373342	0.626658
