rowname	d2h	d13C_VPDB	mean_rwl	mean_rts	mean_lts	belly.avg.bright	breast.avg.bright	throat.avg.bright	vent.avg.bright	bird_mass	proportion.rustica.ancestry	d2h.1	d13C_VPDB.1	mean_rwl.1	mean_rts.1	mean_lts.1	belly.avg.bright.1	breast.avg.bright.1	throat.avg.bright.1	vent.avg.bright.1	bird_mass.1	proportion.rustica.ancestry.1
d2h	1	0.45	0.38	0.21	0.11	0.31	0.13	-0.12	0.18	0.45	0.21	0.35	0.38	0.23	0.024	0.0095	0.38	0.27	0.16	0.41	0.086	0.16
d13C_VPDB	0.45	1	0.07	0.058	-0.066	0.37	0.31	0.11	0.1	0.17	0.11	0.093	0.12	-0.059	-0.034	-0.093	0.17	0.28	0.39	0.17	0.08	0.2
mean_rwl	0.38	0.07	1	0.43	0.39	0.17	0.022	-0.022	-0.049	0.48	0.36	0.19	0.44	0.23	0.28	0.24	0.23	0.32	0.082	0.37	0.43	0.26
mean_rts	0.21	0.058	0.43	1	0.94	0.1	-0.15	-0.0095	0.085	0.2	0.28	0.26	0.087	0.28	0.23	0.32	0.12	-0.031	0.099	-0.015	0.32	0.44
mean_lts	0.11	-0.066	0.39	0.94	1	0.19	0.024	0.096	0.27	0.1	0.36	0.12	0.058	0.3	0.43	0.45	0.049	0.029	0.2	0.13	0.23	0.32
belly.avg.bright	0.31	0.37	0.17	0.1	0.19	1	0.48	0.31	0.5	-0.031	0.18	0.063	0.26	-0.021	-0.054	-0.22	0.14	0.056	0.44	0.093	-0.14	0.11
breast.avg.bright	0.13	0.31	0.022	-0.15	0.024	0.48	1	0.32	0.48	-0.15	0.18	0.083	0.11	-0.24	-0.036	-0.14	0.083	0.16	0.35	0.048	-0.15	0.13
throat.avg.bright	-0.12	0.11	-0.022	-0.0095	0.096	0.31	0.32	1	0.39	-0.39	0.015	-0.11	0.21	-0.084	-0.24	-0.38	-0.11	-0.036	0.48	0.14	-0.39	0.25
vent.avg.bright	0.18	0.1	-0.049	0.085	0.27	0.5	0.48	0.39	1	-0.14	0.079	0.18	0.3	0.054	-0.026	-0.15	0.16	-0.11	0.52	0.14	-0.31	0.13
bird_mass	0.45	0.17	0.48	0.2	0.1	-0.031	-0.15	-0.39	-0.14	1	0.32	0.26	0.25	0.17	0.36	0.35	0.38	0.16	-0.15	0.27	0.55	-0.0093
proportion.rustica.ancestry	0.21	0.11	0.36	0.28	0.36	0.18	0.18	0.015	0.079	0.32	1	0.44	0.31	0.21	0.3	0.29	7e-04	0.23	0.054	0.25	0.16	0.32
d2h.1	0.35	0.093	0.19	0.26	0.12	0.063	0.083	-0.11	0.18	0.26	0.44	1	0.35	0.34	0.055	0.13	-0.0076	0.18	0.087	0.14	0.00056	0.32
d13C_VPDB.1	0.38	0.12	0.44	0.087	0.058	0.26	0.11	0.21	0.3	0.25	0.31	0.35	1	0.16	0.18	0.12	0.12	0.35	0.25	0.4	0.077	0.15
mean_rwl.1	0.23	-0.059	0.23	0.28	0.3	-0.021	-0.24	-0.084	0.054	0.17	0.21	0.34	0.16	1	0.48	0.5	0.092	0.069	-0.09	0.16	0.25	0.27
mean_rts.1	0.024	-0.034	0.28	0.23	0.43	-0.054	-0.036	-0.24	-0.026	0.36	0.3	0.055	0.18	0.48	1	0.97	0.13	0.3	-0.036	0.22	0.65	0.13
mean_lts.1	0.0095	-0.093	0.24	0.32	0.45	-0.22	-0.14	-0.38	-0.15	0.35	0.29	0.13	0.12	0.5	0.97	1	0.16	0.32	-0.15	0.19	0.64	0.22
belly.avg.bright.1	0.38	0.17	0.23	0.12	0.049	0.14	0.083	-0.11	0.16	0.38	7e-04	-0.0076	0.12	0.092	0.13	0.16	1	-0.046	0.082	0.13	0.23	0.052
breast.avg.bright.1	0.27	0.28	0.32	-0.031	0.029	0.056	0.16	-0.036	-0.11	0.16	0.23	0.18	0.35	0.069	0.3	0.32	-0.046	1	0.064	0.57	0.14	0.22
throat.avg.bright.1	0.16	0.39	0.082	0.099	0.2	0.44	0.35	0.48	0.52	-0.15	0.054	0.087	0.25	-0.09	-0.036	-0.15	0.082	0.064	1	0.32	-0.25	0.29
vent.avg.bright.1	0.41	0.17	0.37	-0.015	0.13	0.093	0.048	0.14	0.14	0.27	0.25	0.14	0.4	0.16	0.22	0.19	0.13	0.57	0.32	1	-0.044	0.17
bird_mass.1	0.086	0.08	0.43	0.32	0.23	-0.14	-0.15	-0.39	-0.31	0.55	0.16	0.00056	0.077	0.25	0.65	0.64	0.23	0.14	-0.25	-0.044	1	0.032
proportion.rustica.ancestry.1	0.16	0.2	0.26	0.44	0.32	0.11	0.13	0.25	0.13	-0.0093	0.32	0.32	0.15	0.27	0.13	0.22	0.052	0.22	0.29	0.17	0.032	1
